Fish,Fish_family,Block,Treatment,Length,Weight,Liver Weight,Fish_sex,Uneaten,Dose,Intensity
1,PL098_PL057,1,3x2,36,0.376,0.0108,M,0,6,1
2,PL098_PL057,1,1x6,41,0.507,0.012,M,0,6,4
3,PL098_PL057,1,1x6,36,0.326,0.013,F,0,6,4
4,PL098_PL057,1,3x2,33,0.275,0.0075,F,0,6,5
5,PL098_PL057,1,1x6,48,0.741,0.0282,F,0,6,0
6,PL017_PL165,1,2x3,45,0.722,0.0206,M,0,6,4
7,PL017_PL165,1,1x6,44,0.589,0.0154,F,0,6,6
8,PL017_PL165,1,1x6,48,0.847,0.0417,F,0,6,3
9,PL017_PL165,1,2x3,38,0.415,0.0118,F,0,6,3
10,PL017_PL165,1,3x2,45,0.655,0.02,M,0,6,0
11,PL154_PL010,1,3x2,44,0.392,0.0058,M,0,6,0
12,PL154_PL010,1,1x6,40,0.423,0.0091,M,0,6,5
13,PL154_PL010,1,1x6,40,0.548,0.015,M,0,6,2
14,PL154_PL010,1,2x3,41,0.471,0.0105,M,0,6,2
15,PL154_PL010,1,2x3,46,0.746,0.029,F,0,6,3
16,PL098_PL057,1,2x3,38,0.593,NA,NA,0,6,0
17,PL098_PL057,1,2x3,39,0.457,0.0137,NA,0,6,3
18,PL098_PL057,1,3x2,32,0.248,0.004,NA,0,6,1
19,PL017_PL165,1,3x2,43,0.643,0.0262,M,0,6,1
20,PL017_PL165,1,3x2,43,0.562,0.0148,F,0,6,2
21,PL017_PL165,1,1x6,44,0.615,0.018,F,0,6,3
22,PL154_PL010,1,3x2,47,0.758,0.0185,F,0,6,6
23,PL154_PL010,1,3x2,37,0.307,0.0091,NA,0,6,0
24,PL017_PL165,2,2x3,48,0.88,0.44,F,0,6,2
25,PL017_PL165,2,3x2,47,0.901,0.0447,F,0,6,3
26,PL098_PL057,2,3x2,35,0.347,0.008,M,0,6,6
27,PL098_PL057,2,2x3,45,0.689,0.0258,F,0,6,0
28,PL098_PL057,2,3x2,40,0.466,0.0136,M,0,6,2
29,PL098_PL057,2,2x3,49,0.856,0.0345,F,0,6,5
30,PL098_PL057,2,3x2,40,0.422,0.0144,M,0,6,0
31,PL154_PL010,2,3x2,44,0.63,0.0163,M,0,6,5
32,PL154_PL010,2,2x3,45,0.706,0.0245,F,0,6,5
33,PL154_PL010,2,3x2,45,0.656,0.0257,F,0,6,4
34,PL154_PL010,2,3x2,46,0.679,0.0128,F,1,6,0
35,PL154_PL010,2,2x3,46,0.705,0.0165,M,0,6,5
